team,date,competition_id,opponent,home_away,goals_for,goals_against,result,match_id
Albania,2026-06-06,MPUVmQit,Luxembourg,H,0,1,L,lh2jJcHO
Albania,2026-06-03,ABpCd5hU,Israel,H,0,1,L,tnTcKaF7
Albania,2026-03-31,G6M8ioQ6,Ukraine,A,0,1,L,hOerRDfd
Albania,2026-03-26,KAwmbMZp,Poland,A,1,2,L,ruWYiHPi
Albania,2025-11-16,QTT8Mkkd,England,H,0,2,L,K2zQWa9N
Algeria,2026-06-03,djN5FBM5,Netherlands,A,1,0,W,fqGrfvc5
Algeria,2026-03-31,GjGHi8Tq,Uruguay,H,0,0,D,pzOUljac
Algeria,2026-03-27,rBm2zQ7M,Guatemala,H,7,0,W,ENV2fW3n
Algeria,2026-01-10,tz3bgRhS,Nigeria,H,0,2,L,E7lTculI
Algeria,2026-01-06,0SLLfIl1,D.R. Congo,H,1,0,W,A5pTYVlJ
Andorra,2026-06-07,QitK58Ab,Kosovo,A,0,3,L,WMjBQEI6
Andorra,2026-06-04,fa4qSlEM,Liechtenstein,H,2,0,W,6ohFUWJ8
Andorra,2026-05-29,pjAF0dml,Iraq,A,0,1,L,r9x4VPN8
Andorra,2026-03-31,Uu5IviX8,San Marino,A,0,0,D,OjQfsyam
Andorra,2026-03-27,6ThOdb23,Montenegro,A,0,2,L,SYohBLq2
Angola,2026-06-09,Sfwr7PSq,Central Africa,H,3,0,W,IXyt0eUI
Angola,2026-06-05,EJPpzE5T,Mauritania,H,1,1,D,WjtZbjct
Angola,2025-12-29,fJMbmgWi,Egypt,H,0,0,D,foMDDYSb
Angola,2025-12-26,Y9qsVBGN,Zimbabwe,H,1,1,D,nLI5Ffbn
Angola,2025-12-22,UukAGC1U,South Africa,A,1,2,L,zskmcDrI
Argentina,2026-06-10,bkWW20y2,Iceland,H,3,0,W,hI4787v8
Argentina,2026-06-07,fLLV8H0B,Honduras,H,2,0,W,QgmZkEjC
Argentina,2026-03-31,C2yx1Vm1,Zambia,H,5,0,W,ET8reDfR
Argentina,2026-03-27,xzC5NiFM,Mauritania,H,2,1,W,xxwZiuZQ
Argentina,2025-11-14,lYRnd80D,Angola,A,2,0,W,pYu6eE0b
Armenia,2026-06-09,j7oO41q3,Moldova,H,1,1,D,rwY2xc0e
Armenia,2026-06-06,viQl3l8b,Kazakhstan,H,1,1,D,vsqPqu8L
Armenia,2026-03-29,SbefwcyR,Belarus,H,1,2,L,ns44VT3C
Armenia,2025-11-16,IsRkgJl5,Portugal,A,1,9,L,p0WXJ60C
Armenia,2025-11-13,GOXa6l7K,Hungary,H,0,1,L,6siaLdn4
Australia,2026-06-06,OWiIV6sA,Switzerland,A,1,1,D,ruc3zsQH
Australia,2026-05-31,02I0rj2a,Mexico,A,0,1,L,C8AbHNbh
Australia,2026-03-31,A1kg8F4k,Curacao,H,5,1,W,xYZOaL8b
Australia,2026-03-27,650FFcCF,Cameroon,H,1,0,W,U7WG1svn
Australia,2025-11-19,SpxMhZgL,Colombia,A,0,3,L,2oYYd6K5
Austria,2026-06-01,vDDSR2m3,Tunisia,H,1,0,W,C2OQdZsn
Austria,2026-03-31,rLhXaman,South Korea,H,1,0,W,zJGkMkBc
Austria,2026-03-27,vgNY5LQq,Ghana,H,5,1,W,djlHxWdU
Austria,2025-11-18,0OVuz3Kl,Bosnia & Herzegovina,H,1,1,D,fHhO66jf
Austria,2025-11-15,dnZaWuyB,Cyprus,A,2,0,W,82R4Jqz0
Azerbaijan,2026-06-09,EsWFk1xS,San Marino,H,2,1,W,0vOQ3C9U
Azerbaijan,2026-06-05,6kSN2ai3,Malta,H,0,2,L,jDnBGlak
Azerbaijan,2026-03-30,hMzwuyq3,Sierra Leone,H,2,1,W,vo7OTXlB
Azerbaijan,2026-03-27,Gr2axzQe,Saint Lucia,H,6,1,W,QFKWMMsM
Azerbaijan,2025-11-16,25R66rsC,France,H,1,3,L,lWZq5b7s
Belarus,2026-06-09,A5kMclYa,Burkina Faso,H,2,2,D,vcPioTJN
Belarus,2026-06-05,jPhOXI7C,Syria,H,4,1,W,x0ey9SdL
Belarus,2026-03-29,SbefwcyR,Armenia,A,2,1,W,ns44VT3C
Belarus,2026-03-26,6gG8zWje,Cyprus,A,1,0,W,rs3dGlJc
Belarus,2025-11-18,pQK6ogU1,Greece,H,0,0,D,xjkxqZN6
Belgium,2026-06-06,UuDuXAp4,Tunisia,H,5,0,W,4nYE6kxR
Belgium,2026-06-02,WrQydLY8,Croatia,A,2,0,W,EDo2e0I5
Belgium,2026-04-01,ClQ6gxiD,Mexico,A,1,1,D,0WvEOTM5
Belgium,2026-03-28,pQCXXSZh,USA,A,5,2,W,AkzS6uae
Belgium,2025-11-18,rsAKed4M,Liechtenstein,H,7,0,W,IXpmWMJ5
Benin,2026-06-09,x2Y0Kfw2,Togo,A,1,5,L,xfYwGYAs
Benin,2026-06-05,hItWmNNb,Niger,H,1,1,D,fNtF7Ai4
Benin,2026-03-31,8ACL9XVo,Guinea,A,1,0,W,8G1LLWDD
Benin,2026-03-27,j9YxnLen,Liberia,H,1,0,W,tdML5DWH
Benin,2026-01-05,dEosFnzG,Egypt,A,1,3,L,EwiKzhK6
Bermuda,2026-06-06,KGW5Ghxg,Cape Verde,A,0,3,L,2iWPM2bd
Bermuda,2026-03-25,C4EIKYUP,D.R. Congo,A,0,2,L,tQTPPCUH
Bermuda,2025-11-19,IehV9AnR,Trinidad & Tobago,A,2,2,D,SAIO3Lvg
Bermuda,2025-11-14,Of0LiBQr,Curacao,H,0,7,L,2Tl6ovPO
Bermuda,2025-10-15,raR9pfJF,Jamaica,A,0,4,L,xM3tirem
Bolivia,2026-06-06,Q5oth9U9,Scotland,H,0,4,L,hQSR9x0K
Bolivia,2026-04-01,d4002NeM,Iraq,A,1,2,L,nu8tqnGs
Bolivia,2026-03-26,I1aijIOO,Suriname,H,2,1,W,UPBJl1go
Bolivia,2026-03-15,EZaAWqc4,Trinidad & Tobago,H,3,0,W,hQ60DGdC
Bolivia,2026-01-25,d4rhjAU0,Mexico,H,0,1,L,250dCNM9
Bosnia & Herzegovina,2026-06-06,WflMh2j3,Panama,A,1,1,D,MJw4zC55
Bosnia & Herzegovina,2026-05-29,hW1D4FF5,North Macedonia,H,0,0,D,4lrOQdEN
Bosnia & Herzegovina,2026-03-31,bTzLtUBl,Italy,H,2,1,W,2B8dzIX9
Bosnia & Herzegovina,2026-03-26,pUWJ7Z6s,Wales,A,2,1,W,4lBawIAb
Bosnia & Herzegovina,2025-11-18,0OVuz3Kl,Austria,A,1,1,D,fHhO66jf
Botswana,2026-03-31,xhJo7vB5,Malawi,H,1,0,W,0b4Qwk7j
Botswana,2026-03-28,hvKEyrbJ,Zimbabwe,H,0,3,L,rD2yZNg3
Botswana,2025-12-30,Y3zkG3Nh,D.R. Congo,H,0,3,L,WYRH0767
Botswana,2025-12-27,fy4JHes0,Benin,A,0,1,L,2gz14k7r
Botswana,2025-12-23,Cd8W6vTs,Senegal,A,0,3,L,Uq4q4Le2
Brazil,2026-06-06,jaBJbBH7,Egypt,H,2,1,W,r3s2pV84
Brazil,2026-05-31,M1xJmsSp,Panama,H,6,2,W,4UXzDy1d
Brazil,2026-04-01,Sl4U0P6l,Croatia,H,3,1,W,A3LetXFE
Brazil,2026-03-26,WIIb6oqR,France,H,1,2,L,few9ITN7
Brazil,2025-11-18,63FL6a34,Tunisia,H,1,1,D,WbBoTNBE
Bulgaria,2026-06-05,M7whjNid,Moldova,A,2,2,D,Cv3iCkuq
Bulgaria,2026-06-01,OUncuoWp,Montenegro,H,0,1,L,2BpngdjU
Bulgaria,2026-03-30,rHWOGQCc,Indonesia,A,1,0,W,l6R1l1Wg
Bulgaria,2026-03-27,IFCQyhBH,Solomon Islands,A,10,2,W,CUmkyYJT
Bulgaria,2025-11-18,dphusYw9,Georgia,H,2,1,W,KA0P8J2b
Burundi,2026-05-26,hxVU6FnA,Morocco,A,0,5,L,rHzS9t06
Burundi,2026-03-31,tKM2tws2,Chad,H,4,0,W,8Qcnt2VI
Burundi,2026-03-27,UcUGksKF,Chad,A,4,0,W,GIuurO06
Burundi,2025-10-14,jZ9fQJuU,Gabon,A,0,2,L,2DxU2koh
Burundi,2025-10-09,ILBnSuBH,Kenya,H,0,1,L,YwYP3VVo
Cameroon,2026-03-31,SdMs6puJ,China,A,2,0,W,AuNBjHVp
Cameroon,2026-03-27,650FFcCF,Australia,A,0,1,L,U7WG1svn
Cameroon,2026-01-09,I1Jhwfyh,Morocco,H,0,2,L,dS1gM5th
Cameroon,2026-01-04,vyb6stlT,South Africa,A,2,1,W,A92e36c3
Cameroon,2025-12-31,Yu836meK,Mozambique,A,2,1,W,vHO0VIBb
Canada,2026-06-05,fDRBxRaC,Ireland,H,1,1,D,CrFLkQpp
Canada,2026-06-02,E7LI1OK6,Uzbekistan,H,2,0,W,0S4Q383T
Canada,2026-03-31,GfvD7dg4,Tunisia,H,0,0,D,d8eXienf
Canada,2026-03-28,GzlJoFWp,Iceland,H,2,2,D,AicPgHHs
Canada,2026-01-18,ObYYrVE5,Guatemala,H,1,0,W,YLQtdQEl
Cape Verde,2026-06-06,KGW5Ghxg,Bermuda,H,3,0,W,2iWPM2bd
Cape Verde,2026-05-31,lzgwZvH0,Serbia,H,3,0,W,KtYL3IDd
Cape Verde,2026-03-30,EeeIxmBc,Finland,H,2,1,W,tOPDOlv3
Cape Verde,2026-03-27,YNpCMzLa,Chile,A,2,4,L,SGTxNy3b
Cape Verde,2025-11-17,bTrMhUF7,Egypt,A,1,2,L,4n082fiD
Colombia,2026-06-07,0Wqwt064,Jordan,H,2,0,W,IuITm4Fd
Colombia,2026-06-01,GEnXp7hU,Costa Rica,H,3,1,W,hQpHo1w9
Colombia,2026-03-29,bRJjcKil,France,H,1,3,L,h6y6Qkhg
Colombia,2026-03-26,WOZszvCk,Croatia,H,1,2,L,hbcgcMmg
Colombia,2025-11-19,SpxMhZgL,Australia,H,3,0,W,2oYYd6K5
Congo,2025-10-14,2DR8pTPh,Morocco,A,0,1,L,40Byt7Ms
Congo,2025-10-08,hKkqU7uC,Niger,A,1,3,L,W8faaeN2
Congo,2025-09-05,U3DKtQ7K,Tanzania,H,1,1,D,I5UPpd89
Congo,2025-08-19,pYSIjcSN,Nigeria,A,0,2,L,CxaNCU3j
Congo,2025-08-12,I155PKTO,Senegal,A,1,1,D,GUyRzsjt
Costa Rica,2026-06-10,Sv7jC5yS,England,A,0,3,L,KjB2DklK
Costa Rica,2026-06-01,GEnXp7hU,Colombia,A,1,3,L,hQpHo1w9
Costa Rica,2026-03-31,d4KXeOGG,Iran,H,0,5,L,jFeKizmC
Costa Rica,2026-03-27,hlu0sP1N,Jordan,A,2,2,D,Wpa4eImm
Costa Rica,2025-11-19,SS8BKLHq,Honduras,H,0,0,D,ruCkETbS
Croatia,2026-06-07,8OJFlwRr,Slovenia,H,2,1,W,MwkAgvmI
Croatia,2026-06-02,WrQydLY8,Belgium,H,0,2,L,EDo2e0I5
Croatia,2026-04-01,Sl4U0P6l,Brazil,A,1,3,L,A3LetXFE
Croatia,2026-03-26,WOZszvCk,Colombia,A,2,1,W,hbcgcMmg
Croatia,2025-11-17,vPHvQTw2,Montenegro,A,3,2,W,OU5qCXKO
Curacao,2026-06-07,GzjUrKMq,Aruba,H,4,0,W,APZfvJVr
Curacao,2026-05-30,4UPzsGq9,Scotland,A,1,4,L,GvuTpll2
Curacao,2026-03-31,A1kg8F4k,Australia,A,1,5,L,xYZOaL8b
Curacao,2026-03-27,8SPR9Suf,China,A,0,2,L,6DRudw8N
Curacao,2025-11-19,4Y1ylTP7,Jamaica,A,0,0,D,WrPF5sAt
Cyprus,2026-06-07,z7iD6DyP,Liechtenstein,A,2,0,W,Aks713gM
Cyprus,2026-06-04,4lrb1m0c,Slovenia,A,1,1,D,za9DJXn9
Cyprus,2026-03-30,4p62dDDE,Moldova,H,3,2,W,4di5ESmA
Cyprus,2026-03-26,6gG8zWje,Belarus,H,0,1,L,rs3dGlJc
Cyprus,2025-11-18,f36Wf7ld,Estonia,H,2,4,L,rBvgrTkT
Czech Republic,2026-06-05,UFL3FBUG,Guatemala,H,3,1,W,j1djEBZR
Czech Republic,2026-05-31,O4TH3pqR,Kosovo,H,2,1,W,tzT7JxcD
Czech Republic,2026-03-31,v7xywnBD,Denmark,H,3,2,W,zP64Ye2M
Czech Republic,2026-03-26,Q7YZ3i66,Ireland,H,3,2,W,x297yduB
Czech Republic,2025-11-17,nH3K509t,Gibraltar,H,6,0,W,EwyYabwA
D.R. Congo,2026-06-09,dU9rU25m,Chile,H,1,2,L,xlHCZ7lR
D.R. Congo,2026-06-03,KAeIoI06,Denmark,H,0,0,D,K0OFPazG
D.R. Congo,2026-03-31,vHqkPaLP,Jamaica,H,1,0,W,nHRhJvF8
D.R. Congo,2026-03-25,C4EIKYUP,Bermuda,H,2,0,W,tQTPPCUH
D.R. Congo,2026-01-06,0SLLfIl1,Algeria,A,0,1,L,A5pTYVlJ
Denmark,2026-06-07,hOgQqdVI,Ukraine,H,2,1,W,6HMNNw5S
Denmark,2026-06-03,KAeIoI06,D.R. Congo,A,0,0,D,K0OFPazG
Denmark,2026-03-31,v7xywnBD,Czech Republic,A,2,3,L,zP64Ye2M
Denmark,2026-03-26,INr90IaE,North Macedonia,H,4,0,W,IigYMdQH
Denmark,2025-11-18,rJDta65K,Scotland,A,2,4,L,IF1lMyQr
Ecuador,2026-06-07,2qliy4f2,Guatemala,H,3,0,W,hnYs0nU6
Ecuador,2026-05-31,IiIS0XEU,Saudi Arabia,H,2,1,W,zXYgLzxo
Ecuador,2026-03-31,MmZFFoKO,Netherlands,A,1,1,D,2PWJ81Ur
Ecuador,2026-03-27,SYohknSs,Morocco,A,1,1,D,v17JEQCb
Ecuador,2025-11-19,6a9gmesn,New Zealand,H,2,0,W,pAyQLUqL
Egypt,2026-06-06,jaBJbBH7,Brazil,A,1,2,L,r3s2pV84
Egypt,2026-05-28,pQ8jvBq1,Russia,H,1,0,W,lILzY6G6
Egypt,2026-03-31,lvXpLgvm,Spain,A,0,0,D,Op2f19Yr
Egypt,2026-03-27,Qcs4Odjm,Saudi Arabia,A,4,0,W,KjQUOcYo
Egypt,2026-01-17,hjbE80SO,Nigeria,H,0,1,L,4nleUY9m
El Salvador,2026-06-06,pzpzlcvg,Qatar,A,0,0,D,WrpbU7b2
El Salvador,2026-06-04,I93cJoFF,South Korea,A,0,1,L,MVBloMFO
El Salvador,2026-03-29,pbSPuFH8,Martinique,A,1,0,W,jNoo7cKH
El Salvador,2026-03-27,0dNWJXfk,Dominican Republic,A,2,2,D,rcrw9Jk5
El Salvador,2025-11-19,tvRxR8MP,Panama,A,0,3,L,YDttOqR0
England,2026-06-10,Sv7jC5yS,Costa Rica,H,3,0,W,KjB2DklK
England,2026-06-06,n15zGmx3,New Zealand,H,1,0,W,hpJGkndD
England,2026-03-31,vkXSarO9,Japan,H,0,1,L,l0V9sPVq
England,2026-03-27,Obfyfhzi,Uruguay,H,1,1,D,IHvvmo8M
England,2025-11-16,QTT8Mkkd,Albania,A,2,0,W,K2zQWa9N
Equatorial Guinea,2026-06-09,nuANlz5b,Comoros,H,0,1,L,bRqV4XO0
Equatorial Guinea,2026-03-31,IqpUwYvm,Madagascar,H,1,1,D,lA5qX1OF
Equatorial Guinea,2026-03-25,8Wma7FDO,Kyrgyzstan,A,1,0,W,ENmWSyft
Equatorial Guinea,2025-12-31,fFnBSXCF,Algeria,H,1,3,L,vDAbDpjD
Equatorial Guinea,2025-12-28,ADsI6jjd,Sudan,H,0,1,L,Wn7jF6L0
Estonia,2026-06-09,zsbeOQW7,Lithuania,H,1,0,W,2Z81QzEc
Estonia,2026-06-06,04iNTVfA,Faroe Islands,H,1,0,W,jHfSq9dl
Estonia,2026-03-30,Ii2QHcv8,Rwanda,A,0,2,L,vLg41i45
Estonia,2026-03-27,nRAidle1,Kenya,A,2,1,W,fo7BRaos
Estonia,2025-11-18,f36Wf7ld,Cyprus,A,4,2,W,rBvgrTkT
Eswatini,2026-03-31,dpW8i3k3,Eritrea,H,1,2,L,KjnWqpWg
Eswatini,2026-03-25,SAkqyr5M,Eritrea,A,0,2,L,nwlOo61s
Eswatini,2025-10-13,xYxbh25t,Cape Verde,A,0,3,L,b1H0N1Ao
Eswatini,2025-10-08,n9clYbKO,Angola,H,2,2,D,ddwIbIXp
Eswatini,2025-09-08,KEcQw3jm,Libya,A,0,2,L,nNmr5KfH
Faroe Islands,2026-06-09,Qm69XU9L,Latvia,A,1,0,W,zTGF2XLj
Faroe Islands,2026-06-06,04iNTVfA,Estonia,A,0,1,L,jHfSq9dl
Faroe Islands,2026-03-28,fHgtDg3T,San Marino,A,2,1,W,dSYRtJK7
Faroe Islands,2025-11-18,vqlzxFl4,Kazakhstan,H,1,0,W,v3T5BSKh
Faroe Islands,2025-11-14,0GN0XBoS,Croatia,A,1,3,L,jH7yEgjC
Finland,2026-06-05,2kZUQJKN,Hungary,A,1,2,L,bZVLx0FO
Finland,2026-05-31,CdAUCHvh,Germany,A,0,4,L,6avr2Jf5
Finland,2026-03-30,EeeIxmBc,Cape Verde,A,1,2,L,tOPDOlv3
Finland,2026-03-27,bq1RIhKO,New Zealand,A,2,0,W,lWHoLFXA
Finland,2025-11-17,bXxc62un,Andorra,H,4,0,W,hvwo60ZH
France,2026-06-08,6DrOk39e,Northern Ireland,H,3,1,W,h6AZ5xIP
France,2026-06-04,xpTMdFZ7,Ivory Coast,H,1,2,L,Aat1lJu0
France,2026-03-29,bRJjcKil,Colombia,A,3,1,W,h6y6Qkhg
France,2026-03-26,WIIb6oqR,Brazil,A,2,1,W,few9ITN7
France,2025-11-16,25R66rsC,Azerbaijan,A,3,1,W,lWZq5b7s
Gabon,2026-03-30,MaNDpu62,Trinidad & Tobago,A,3,2,W,C6TVHz0P
Gabon,2026-03-27,dvNKOcqq,Uzbekistan,A,1,3,L,KbRpfX7I
Gabon,2025-12-31,Y72Ap6Y0,Ivory Coast,H,2,3,L,I1zhXvsn
Gabon,2025-12-28,UBDWiltR,Mozambique,H,2,3,L,fkKtQNZI
Gabon,2025-12-24,GUGMZlKr,Cameroon,A,0,1,L,Q9SPT5zf
Gambia,2026-05-29,CQVQNJY0,Iran,A,1,3,L,EuFDrj8L
